Driver,Position,Points,Wins,Constructors
Max Verstappen,1,395.5,10,Red Bull
Hamilton,2,387.5,8,Mercedes
Bottas,3,226,1,Mercedes
Perez,4,190,1,Red Bull
Sainz,5,164.5,0,Ferrari
Norris,6,160,0,Mclaren
Leclerc,7,159,0,Ferrari
Ricciardo,8,115,1,Mclaren
Gasly,9,110,0,Alphatauri
Alonso,10,81,0,Alpine
Ocon,11,74,1,Alpine
Vettel,12,43,0,Aston Martin
Stroll,13,34,0,Aston Martin
Tsunoda,14,32,0,Alphatauri
Russell,15,16,0,Williams
Raikkonen,16,10,0,Alfa
Latifi,17,7,0,Williams
Giovinazzi,18,3,0,Alfa
Mick Schumacher,19,0,0,Haas
Kubica,20,0,0,Alfa
Mazepin,21,0,0,Haas
