Driver,Position,Lap Time,Lap #,LapTime in Seconds,Season
hamilton,14,01:38:00,2,98.649,2022
hamilton,14,01:37:00,3,97.618,2022
hamilton,14,01:37:00,4,97.706,2022
hamilton,14,01:37:00,5,97.984,2022
hamilton,14,01:37:00,6,97.275,2022
hamilton,14,01:37:00,7,97.204,2022
hamilton,13,01:37:00,8,97.073,2022
hamilton,12,01:36:00,9,96.698,2022
hamilton,12,01:35:00,10,95.812,2022
hamilton,11,01:36:00,11,96.957,2022
hamilton,11,01:35:00,12,95.788,2022
hamilton,11,01:35:00,13,95.507,2022
hamilton,10,01:35:00,14,95.648,2022
hamilton,10,01:35:00,15,95.875,2022
hamilton,7,01:37:00,21,97.339,2022
hamilton,7,01:35:00,22,95.996,2022
hamilton,6,01:34:00,23,94.928,2022
hamilton,7,01:35:00,24,95.876,2022
hamilton,6,01:34:00,25,94.82,2022
hamilton,6,01:34:00,26,94.544,2022
hamilton,6,01:34:00,27,94.699,2022
hamilton,6,01:34:00,28,94.266,2022
hamilton,6,01:34:00,29,94.189,2022
hamilton,6,01:34:00,30,94.074,2022
hamilton,6,01:34:00,31,94.159,2022
hamilton,6,01:33:00,32,93.911,2022
hamilton,6,01:33:00,33,93.937,2022
hamilton,6,01:33:00,34,93.746,2022
hamilton,6,01:34:00,35,94.144,2022
hamilton,6,01:33:00,36,93.79,2022
hamilton,6,01:38:00,37,98.059,2022
hamilton,12,01:33:00,42,93.982,2022
hamilton,11,01:33:00,43,93.945,2022
hamilton,11,01:35:00,44,95.048,2022
hamilton,10,01:33:00,45,93.379,2022
hamilton,10,01:33:00,46,93.289,2022
hamilton,10,01:32:00,47,92.997,2022
hamilton,10,01:33:00,48,93.185,2022
hamilton,10,01:35:00,49,95.663,2022
hamilton,10,01:35:00,50,95.855,2022
