Driver,Position,Lap Time,Lap #,LapTime in Seconds,Season
leclerc,4,01:38:00,1,98.491,2021
leclerc,4,01:35:00,2,95.006,2021
leclerc,4,01:34:00,3,94.497,2021
leclerc,4,01:34:00,4,94.414,2021
leclerc,4,01:34:00,5,94.15,2021
leclerc,4,01:34:00,6,94.186,2021
leclerc,4,01:34:00,7,94.155,2021
leclerc,4,01:33:00,8,93.976,2021
leclerc,4,01:33:00,9,93.963,2021
leclerc,10,01:36:00,18,96.483,2021
leclerc,10,01:35:00,19,95.072,2021
leclerc,10,01:34:00,20,94.841,2021
leclerc,10,01:34:00,21,94.571,2021
leclerc,10,01:34:00,22,94.605,2021
leclerc,9,01:33:00,25,93.642,2021
leclerc,9,01:33:00,26,93.086,2021
leclerc,9,01:34:00,28,94.874,2021
leclerc,9,01:32:00,33,92.704,2021
leclerc,9,01:32:00,34,92.257,2021
leclerc,9,01:33:00,36,93.209,2021
leclerc,9,01:32:00,37,92.066,2021
leclerc,9,01:32:00,38,92.745,2021
leclerc,8,01:32:00,39,92.028,2021
leclerc,8,01:32:00,40,92.145,2021
leclerc,8,01:31:00,41,91.883,2021
leclerc,8,01:32:00,42,92.094,2021
leclerc,8,01:32:00,43,92.395,2021
leclerc,8,01:31:00,44,91.71,2021
leclerc,8,01:31:00,45,91.745,2021
leclerc,8,01:31:00,46,91.601,2021
leclerc,8,01:32:00,47,92.251,2021
leclerc,8,01:32:00,48,92.716,2021
leclerc,7,01:31:00,49,91.992,2021
leclerc,7,01:33:00,50,93.431,2021
